6,52091
19,51985
29,51750
5,51718
35,51534
46,51474
37,51565
18,51382
13,51217
8,51141
14,51091
3,50842
38,50809
1,50499
11,50406
9,50364
27,49878
12,50188
32,49455
0,49273
45,49222
10,48967
31,48434
21,48651
25,48250
4,48297
43,48143
23,47663
30,47651
26,47128
7,46862
20,46748
28,46531
22,46394
36,46282
17,46078
40,45614
39,45601
15,45884
44,45523
24,45679
16,45468
34,45445
42,44512
2,45246
33,44538
71,44089
84,25717
90,25605
79,25435
77,25270
65,25118
82,25118
68,25045
76,24974
85,24784
53,24547
60,24426
74,24146
72,24065
66,22186
73,21981
48,21449
83,21113
67,20967
58,20198
56,19695
87,19292
64,19245
41,24400
88,17710
51,11737
91,11085
89,10868
54,10092
81,8336
80,12386
57,7701
78,6664
55,7021
61,7141
50,6788
69,17692
92,6866
59,6559
49,6520
75,11219
52,7427
86,18154
63,6315
70,16694
47,6120
62,6001
