96,78087
31,78083
67,78095
53,78112
20,78071
57,78067
48,78084
94,78169
112,78061
15,78057
98,78175
1,78056
38,78045
104,78132
7,78043
107,78272
10,78037
28,78028
64,78032
24,78029
101,78030
4,78028
26,78023
106,78066
9,78003
52,78003
56,78001
102,78033
5,77995
36,77994
19,77991
14,78018
111,77994
22,77991
63,77977
93,77908
60,77851
8,78051
105,77842
34,77778
49,77782
55,77788
29,78130
59,77708
35,77799
46,77913
37,77647
42,77582
16,45878
113,77554
66,77652
25,77689
95,77674
27,78266
32,78170
47,77624
97,22088
0,78208
45,77557
43,77734
44,45907
33,45209
30,77578
2,77987
99,24940
41,25166
13,77992
110,24210
51,11869
50,77568
17,78017
114,20933
23,78151
69,21425
68,77649
21,77705
18,77948
115,10862
40,78274
62,6461
12,78054
109,10076
65,8103
103,78185
6,78259
3,78035
100,77501
54,8091
11,77917
108,77599
61,7090
39,78272
58,6351
