23,54775
22,54659
21,54551
20,54332
19,54188
18,53421
17,52865
46,47206
45,46889
44,46529
43,46018
42,44093
16,31296
41,31001
15,27970
40,27333
39,26241
38,26203
37,26076
14,26034
36,25625
35,25587
13,25353
92,24743
91,24735
90,24722
12,25007
89,24548
88,24193
11,24248
87,23851
10,24006
86,23461
85,23418
9,23663
8,23638
7,23613
6,23576
84,22697
83,21310
82,21082
81,20888
80,20690
79,20604
78,20411
77,18735
69,15546
68,14879
70,12964
67,11865
66,11565
65,11329
64,11241
63,11136
62,10837
61,10776
34,10773
33,10618
60,2818
59,2577
58,2327
57,2210
56,2185
32,10441
55,2021
31,10279
54,1947
30,10150
53,1903
76,18014
29,10007
5,18562
52,1763
75,16804
28,9841
4,15973
51,1720
74,16556
27,9711
3,15318
50,1659
73,15451
26,9537
2,14198
49,1605
72,15127
25,9350
1,11354
48,1546
71,13301
24,6643
0,11210
47,1494
