115,28496
114,28486
113,28467
112,28418
111,28337
110,28113
109,28066
108,27934
107,27795
106,22721
105,22712
104,22706
103,22676
102,22662
101,22638
100,22623
99,22608
98,22582
97,22552
96,22543
95,22512
94,22501
70,21057
93,22475
46,13379
92,22459
45,13465
91,22444
44,13581
90,22438
43,13896
89,22421
42,9127
88,22414
41,9154
87,22388
40,22037
86,22373
39,33357
85,22360
38,33331
84,22337
37,33286
83,22323
36,32934
82,22305
35,32827
81,22284
34,32719
80,22272
33,32619
79,22206
32,32507
78,22136
31,32392
77,22020
30,32269
76,21941
29,32166
75,21709
28,32075
74,21604
27,31936
73,21442
26,24456
72,21336
25,24420
71,21169
24,24259
