23,57172
22,57110
21,56402
20,56053
19,55827
18,55490
115,41290
17,55178
114,41276
16,54872
113,41248
15,54572
112,41234
14,54281
111,41193
13,52214
110,41173
12,51745
109,41162
11,51530
108,41143
10,51311
107,41090
9,51090
106,41064
8,50868
105,41018
7,50536
104,41007
6,48075
103,40989
5,47555
102,40961
4,45589
101,40908
3,45386
100,40877
2,45323
99,40809
1,41172
98,40802
0,41169
97,40789
96,40761
95,40752
94,40746
93,40711
46,40826
45,40758
44,40716
43,40675
42,40668
41,40662
40,40614
39,40606
38,40599
37,40587
36,40530
35,40506
34,40480
33,40240
32,40172
31,39618
30,39488
29,39450
28,39405
27,39277
26,39238
25,39188
24,24188
